genres,app_name,price,metascore,release_year
"['Casual', 'Indie']",RIP - Trilogy™,4.99,72,2007
['Strategy'],X-COM: Terror From the Deep,4.99,72,1995
"['Action', 'Adventure']",Tomb Raider: Anniversary,8.99,83,2007
['Action'],Devil May Cry® 3 Special Edition,19.99,66,2006
"['Action', 'Adventure']",Sam & Max 101: Culture Shock,19.99,72,2006
['Action'],Final DOOM,4.99,72,1996
"['Action', 'Adventure']",Sam & Max 102: Situation: Comedy,19.99,72,2006
['Action'],Ultimate Doom,4.99,72,1995
['Action'],Master Levels for Doom II,14.99,72,1995
['Action'],DOOM II,4.99,83,1994
['Action'],Wolfenstein 3D,4.99,72,1994
['Action'],Return to Castle Wolfenstein,4.99,88,2001
['Action'],QUAKE Mission Pack 1: Scourge of Armagon,2.99,72,1997
['Action'],Spear of Destiny,2.99,72,1993
['Action'],BloodRayne,9.99,65,2003
['Action'],QUAKE Mission Pack 2: Dissolution of Eternity,2.99,72,2007
['Action'],QUAKE,4.99,94,2007
['Strategy'],Genesis Rising,4.99,57,2007
['Strategy'],"Warhammer® 40,000: Dawn of War® – Winter Assault",12.99,72,2006
"['Action', 'RPG']",BioShock™,19.99,96,2007
['Strategy'],"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",12.99,86,2006
['Strategy'],"Warhammer® 40,000: Dawn of War® - Dark Crusade",12.99,87,2006
['Strategy'],Rome: Total War™ - Collection,9.99,92,2004
['Strategy'],Rome: Total War™ - Alexander,4.99,79,2006
['Casual'],Mystery Case Files: Madame Fate®,6.99,72,2007
['Action'],Manhunt,9.99,75,2004
['Racing'],Midnight Club 2,9.99,81,2003
['Action'],Max Payne 2: The Fall of Max Payne,9.99,86,2003
"['Action', 'Adventure']",Tomb Raider: Legend,6.99,82,2006
['Action'],Max Payne,9.99,89,2001
['Strategy'],Command & Conquer: Red Alert 3,19.99,82,2008
['Casual'],PuzzleQuest: Challenge of the Warlords,9.99,84,2007
"['RPG', 'Casual', 'Adventure']",Culpa Innata,9.99,66,2007
['Strategy'],Prison Tycoon 3™: Lockdown,9.99,72,2007
"['Action', 'Adventure', 'Strategy']",Hunting Unlimited™ 2008,9.99,72,2007
['Racing'],18 Wheels of Steel: American Long Haul,9.99,72,2007
['Action'],Conflict: Denied Ops,5.99,58,2008
['Action'],ARMA: Combat Operations,7.99,74,2007
['Simulation'],Tycoon City: New York,9.99,67,2006
['Action'],Desperados 2: Cooper's Revenge,9.99,66,2006
"['Action', 'Adventure']",Death to Spies,4.99,69,2007
['Action'],Act of War: High Treason,2.99,74,2006
"['Simulation', 'Strategy']",RollerCoaster Tycoon® 3: Platinum,19.99,81,2006
['Action'],Act of War: Direct Action,2.99,82,2005
['Action'],Unreal 2: The Awakening,14.99,75,2003
['Action'],Unreal Gold,9.99,72,1998
"['Casual', 'Indie']",Ninja Reflex: Steamworks Edition,4.99,57,2008
['Action'],Tom Clancy's Splinter Cell®,9.99,91,2003
['Action'],Far Cry®,9.99,89,2004
['Action'],Unreal Tournament: Game of the Year Edition,9.99,92,2000
['Action'],Tom Clancy's Rainbow Six® Vegas,9.99,85,2006
['Simulation'],Silent Hunter® III,9.99,90,2005
"['Casual', 'Simulation']",Virtual Villagers - The Secret City,9.99,72,2008
['Casual'],Mystery P.I.™ - The Vegas Heist,4.99,72,2008
['Casual'],Luxor,9.99,72,2008
['Casual'],Reaxxion,9.99,72,2008
['Casual'],Little Farm,9.99,72,2008
['Casual'],7 Wonders II,9.99,72,2008
['Casual'],Luxor Amun Rising,9.99,72,2005
['Casual'],Luxor 3,9.99,72,2007
['Simulation'],Petz® Horsez® 2,9.99,72,2007
['Casual'],Luxor 2,9.99,72,2005
"['Action', 'Adventure']",Rayman Raving Rabbids™,9.99,58,2007
['Simulation'],Silent Hunter®: Wolves of the Pacific,9.99,79,2007
['Simulation'],IL-2 Sturmovik: 1946,9.99,86,2006
['Simulation'],Silent Hunter®: Wolves of the Pacific U-Boat Missions,9.99,72,2008
['Adventure'],Bone: Out From Boneville,9.99,68,2005
['Racing'],Midnight Outlaw: 6 Hours to SunUp,9.99,72,2005
['Adventure'],Bone: The Great Cow Race,9.99,76,2006
['Racing'],Sprint Cars Road to Knoxville,9.99,72,2008
['Simulation'],Ride! Carnival Tycoon,9.99,72,2007
['Casual'],Mahjongg Investigations: Under Suspicion,9.99,72,2007
['Adventure'],Dracula Origin,9.99,70,2008
"['Adventure', 'RPG']",Sherlock Holmes - Nemesis,9.99,71,2008
"['Adventure', 'Indie']",Eternity's Child,4.99,72,2008
"['Simulation', 'Strategy']",Pacific Storm Allies,7.99,60,2007
"['Action', 'Indie']",Tank Universal,4.99,72,2008
['Racing'],FlatOut: Ultimate Carnage,19.99,79,2008
['Adventure'],Oddworld: Abe's Exoddus®,2.99,72,1998
['Adventure'],Oddworld: Abe's Oddysee®,2.99,72,1997
['Racing'],GTR Evolution Expansion Pack for RACE 07,7.99,83,2008
['Strategy'],X-COM: Enforcer,4.99,65,2001
['Strategy'],X-COM: Apocalypse,4.99,72,1997
['Strategy'],X-COM: UFO Defense,4.99,72,1993
"['Action', 'RPG']",S.T.A.L.K.E.R.: Clear Sky,9.99,75,2008
['Action'],Crysis Warhead®,19.99,84,2008
['Action'],Crysis,19.99,91,2007
['Strategy'],X-COM: Interceptor,4.99,72,1998
"['Action', 'RPG']",The Witcher: Enhanced Edition Director's Cut,9.99,86,2008
['Indie'],Multiwinia,9.99,76,2008
['Racing'],STCC - The Game 1 - Expansion Pack for RACE 07,2.99,72,2008
"['Strategy', 'Simulation']",Children of the Nile: Alexandria,2.49,72,2008
['Strategy'],Sid Meier's Civilization IV: Colonization,19.99,83,2008
['Action'],Tom Clancy's Rainbow Six® 3 Gold,9.99,85,2003
"['Action', 'Adventure']",LEGO Batman,19.99,80,2008
"['Simulation', 'Strategy']",City Life 2008,9.99,72,2008
"['RPG', 'Strategy']",Hinterland,9.99,65,2008
['Action'],Brothers in Arms: Hell's Highway™,9.99,79,2008
"['Indie', 'Casual']",Gravitron 2,4.99,72,2008
['Racing'],Xpand Rally Xtreme,4.99,72,2006
['Strategy'],Heroes of Might & Magic V: Hammers of Fate,9.99,66,2006
['Action'],Brothers in Arms: Earned in Blood™,9.99,84,2005
['Strategy'],Heroes of Might & Magic V: Tribes of the East,9.99,70,2007
['Strategy'],The Settlers®: Rise Of An Empire Gold Edition,19.99,66,2008
['Casual'],Brain Spa,9.99,72,2007
['Action'],The Sum of All Fears,9.99,72,2002
['Casual'],Peggle™ Nights,4.99,76,2008
['Indie'],World of Goo,9.99,90,2008
"['Action', 'Simulation', 'Strategy']",X3: Terran Conflict,15.99,73,2008
"['Casual', 'Indie']",Spectraball,4.99,72,2008
"['Indie', 'Casual', 'Sports']",Galactic Bowling,19.99,72,2008
"['Action', 'Adventure']",Bully: Scholarship Edition,14.99,72,2008
['Action'],Far Cry® 2: Fortune's Edition,9.99,85,2008
"['Action', 'Indie', 'Strategy']",Space Trader: Merchant Marine,4.99,72,2008
['Simulation'],PRR Wagon Pack 01,4.99,72,2009
['Simulation'],"Class 421 London South East ""Jaffa Cake""",4.99,72,2009
['Simulation'],ATSF Wagon Pack 01,4.99,72,2009
['Simulation'],GP20 Union Pacific Add-on Livery,4.99,72,2009
['Simulation'],UK Van Wagon Pack,4.99,72,2009
['Simulation'],CSX SD70MAC Add-on Livery,4.99,72,2009
['Simulation'],CSX ES44AC Add-on Livery,4.99,72,2009
['Action'],Saints Row 2,9.99,72,2009
['Action'],Dead Space,19.99,86,2008
['RPG'],Rise of the Argonauts,9.99,59,2008
"['Action', 'Adventure']",Mirror's Edge™,19.99,81,2009
"['Indie', 'Strategy']",Defense Grid: The Awakening,9.99,81,2008
['Action'],F.E.A.R. 2: Project Origin,14.99,79,2009
"['Strategy', 'Indie']",Harvest: Massive Encounter,7.99,72,2008
"['Indie', 'Strategy']",Mayhem Intergalactic,9.99,72,2007
"['Action', 'Indie']",Larva Mortus,4.99,64,2009
['Strategy'],Knights of Honor,9.99,77,2005
"['Action', 'Adventure', 'Strategy']",Ceville,5.99,73,2009
['Strategy'],Empire: Total War™ - Special Forces Units & Bonus Content,2.99,72,2009
['Action'],Watchmen: The End is Nigh,4.99,61,2009
"['Action', 'Adventure', 'Indie']",Penumbra Overture,9.99,73,2007
['Action'],Unreal Tournament 3 Black,19.99,83,2007
['RPG'],Drakensang,9.99,75,2009
"['Indie', 'Simulation']",The Graveyard,4.99,72,2008
['Racing'],Burnout Paradise: The Ultimate Box,19.99,87,2009
"['Action', 'Indie']",The Maw,9.99,75,2009
"['Action', 'Indie']",The Maw: River Redirect,1.25,72,2009
"['Action', 'Indie']",The Maw: Brute Force,1.25,72,2009
"['Casual', 'Indie']",Obulis,4.99,72,2009
['Indie'],Space Giraffe,9.99,72,2009
"['Simulation', 'Strategy']",Codename: Panzers - Cold War,14.99,72,2009
['Casual'],Escape Rosecliff Island,4.99,72,2009
"['RPG', 'Massively Multiplayer']",Guild Wars Nightfall,19.99,84,2006
"['RPG', 'Massively Multiplayer']",Guild Wars,19.99,89,2005
"['RPG', 'Massively Multiplayer']",Guild Wars Factions,19.99,84,2006
"['Massively Multiplayer', 'RPG']",Guild Wars Trilogy,29.99,72,2008
['Casual'],Puzzle Kingdoms,14.99,72,2009
['Casual'],Samantha Swift and the Golden Touch,9.99,72,2009
['RPG'],Two Worlds Epic Edition,9.99,65,2009
['Strategy'],Helldorado,9.99,65,2009
"['Action', 'Adventure', 'RPG']",X-Blades,9.99,54,2009
"['Action', 'Indie']",Zeno Clash,9.99,77,2009
['Indie'],The Maw: Speeder Lane,1.25,72,2009
"['RPG', 'Strategy']",King's Bounty: The Legend,6.99,79,2008
"['Casual', 'Simulation']",Virtual Families,9.99,72,2009
['Racing'],Death Track®: Resurrection,2.99,53,2009
"['RPG', 'Strategy']",Freedom Force vs. the Third Reich,4.99,72,2005
"['RPG', 'Strategy']",Freedom Force,4.99,90,2002
"['Indie', 'Simulation', 'Strategy']",Light of Altair,14.99,66,2009
"['Action', 'Adventure']",Prototype™,19.99,79,2009
['Strategy'],Port Royale 2,4.99,75,2004
['RPG'],The Elder Scrolls IV: Oblivion® Game of the Year Edition,14.99,94,2007
['RPG'],The Elder Scrolls III: Morrowind® Game of the Year Edition,14.99,89,2002
['Adventure'],Ankh 2: Heart of Osiris,4.99,72,2007
['Simulation'],Armored Fist 3,9.99,72,1999
['Simulation'],MiG-29 Fulcrum,9.99,72,1998
['Strategy'],BC Kings,4.99,72,2008
['Action'],Call of Juarez®: Bound in Blood,9.99,78,2009
['Adventure'],Nancy Drew®: Legend of the Crystal Skull,6.99,79,2007
['Adventure'],Nancy Drew®: The Creature of Kapu Cave,6.99,68,2006
['Adventure'],Nancy Drew®: The Phantom of Venice,6.99,69,2008
['Adventure'],Nancy Drew®: The White Wolf of Icicle Creek,6.99,73,2007
"['Simulation', 'Sports']",Hunting Unlimited 2010,9.99,72,2009
['Adventure'],Tales of Monkey Island Complete Pack,19.99,79,2009
['Action'],Street Fighter® IV,19.99,91,2009
"['Action', 'Adventure', 'Racing', 'Simulation', 'Strategy']",Thrillville®: Off the Rails™,9.99,70,2007
['Adventure'],Indiana Jones® and the Fate of Atlantis™,5.99,72,1992
['Action'],Armed and Dangerous®,5.99,78,2003
['Action'],"Star Wars: Battlefront 2 (Classic, 2005)",9.99,78,2005
['Adventure'],Indiana Jones® and the Last Crusade™,5.99,72,1989
"['Action', 'Adventure']",LEGO® Indiana Jones™: The Original Adventures,19.99,78,2008
['Adventure'],The Secret of Monkey Island: Special Edition,9.99,86,2009
['Strategy'],Warfare,12.99,72,2008
"['Action', 'Racing']",Clutch,9.99,51,2009
['Adventure'],Nancy Drew®: Ransom of the Seven Ships,6.99,78,2009
['Sports'],3D Ultra™ Minigolf Adventures,9.99,72,2006
['Adventure'],King's Quest™ Collection,19.99,72,2006
['Action'],TimeShift™,19.99,71,2007
['Adventure'],Space Quest™ Collection,19.99,72,2006
['Action'],Killing Floor Outbreak Character Pack,7.99,72,2009
"['Action', 'Casual']",Aces of the Galaxy™,9.99,72,2008
"['Simulation', 'Strategy']",Tropico Reloaded,6.99,72,2009
['Casual'],Mystery P.I. - Lost in Los Angeles,4.99,72,2009
['Action'],Bionic Commando: Rearmed,9.99,86,2008
"['Action', 'Adventure']",Bionic Commando,9.99,69,2009
['Action'],Watchmen: The End is Nigh Part 2,4.99,44,2009
"['Action', 'Indie']",Foreign Legion: Buckets of Blood,4.99,72,2009
"['Adventure', 'RPG']",STAR WARS™ - Knights of the Old Republic™,9.99,72,2003
"['Indie', 'Casual']",Osmos,9.99,80,2009
['RPG'],Fallout 2: A Post Nuclear Role Playing Game,9.99,86,1998
['Strategy'],Fallout Tactics: Brotherhood of Steel,9.99,82,2001
['Action'],Kingpin — Life of Crime,9.99,72,1999
['Adventure'],Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,19.99,72,2009
['Casual'],Jewel Quest Pack,19.99,72,2009
['Casual'],Mahjong Quest Collection,9.99,72,2009
"['Adventure', 'Indie']","Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",4.99,84,2009
['Action'],Tom Clancy's Splinter Cell Chaos Theory®,9.99,92,2005
"['Action', 'Racing']",Crash Time 2,9.99,72,2009
['Strategy'],XIII Century – Gold Edition,4.99,72,2009
['Simulation'],World of Zoo,14.99,72,2009
['Simulation'],18 Wheels of Steel: Extreme Trucker,9.99,72,2009
"['Action', 'Adventure']",Mini Ninjas,9.99,74,2009
['Casual'],Freeze Tag Fun Pack #2,19.99,72,2009
['Casual'],Freeze Tag Fun Pack #1,19.99,72,1999
"['Adventure', 'Casual', 'Indie']",Windosill,2.99,72,2009
['Simulation'],Train Simulator: Colton & Northern Route Add-On,24.99,72,2009
"['Adventure', 'Casual']",Midnight Mysteries,9.99,72,2009
['Adventure'],Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,19.99,72,2009
['Action'],Joint Operations: Combined Arms Gold,19.99,72,2009
['Simulation'],Train Simulator: US Loco & Asset Pack,17.99,72,2009
['Simulation'],DinerTown Tycoon,9.99,72,2009
['Simulation'],Train Simulator: European Loco & Asset Pack,19.99,72,2009
['RPG'],Risen,9.99,77,2009
['Casual'],Flora's Fruit Farm,3.99,72,2009
['Strategy'],Empire: Total War™ - The Warpath Campaign,9.99,72,2009
"['Adventure', 'Indie']",Machinarium,9.99,85,2009
['Action'],Medal of Honor: Airborne,9.99,78,2007
['Racing'],Need for Speed: Shift,19.99,83,2009
['RPG'],Torchlight,14.99,83,2009
['Strategy'],Command & Conquer: Red Alert 3 - Uprising,19.99,72,2009
['Strategy'],The Stronghold Collection,19.99,72,2009
['Strategy'],East India Company: Privateer,4.99,63,2009
['Action'],Painkiller: Resurrection,9.99,38,2009
"['RPG', 'Strategy']",SpellForce 2 - Anniversary Edition,14.99,80,2009
['Adventure'],Secret Files: Tunguska,9.99,72,2009
['Strategy'],Rush for Berlin Gold,4.99,76,2009
['Adventure'],Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,19.99,72,2009
['Strategy'],Men of War: Red Tide,4.99,77,2009
"['Action', 'Indie']",Hammerfight,4.99,72,2009
"['Action', 'RPG']",SpellForce - Platinum Edition,9.99,74,2009
['Strategy'],Massive Assault: Phantom Renaissance,9.99,72,2005
['Strategy'],Massive Assault,9.99,77,2003
"['Action', 'Indie']",Serious Sam HD: The First Encounter,14.99,68,2009
['Adventure'],Secret Files 2: Puritas Cordis,9.99,64,2009
['RPG'],Dragon Age: Origins,19.99,91,2009
"['Action', 'RPG', 'Indie']",Aztaka,4.99,72,2009
"['Indie', 'Casual']",Magnetis,1.99,72,2009
['Strategy'],For The Glory: A Europa Universalis Game,9.99,72,2009
['Action'],Call of Duty®: Modern Warfare® 2,19.99,86,2009
['Adventure'],LEGO® Star Wars™ - The Complete Saga,19.99,77,2009
['RPG'],Overlord™,4.99,81,2007
['RPG'],Overlord™: Raising Hell,9.99,72,2008
['Strategy'],Command & Conquer 3: Tiberium Wars,14.99,85,2007
"['Indie', 'Casual']",Yumsters 2: Around the World,4.99,72,2008
['Strategy'],Command & Conquer 3: Kane's Wrath,19.99,77,2009
"['Indie', 'Simulation', 'Strategy']",Gratuitous Space Battles,14.99,72,2009
['Simulation'],Wings of Prey,9.99,78,2009
"['Action', 'Adventure', 'RPG']",The Bard's Tale,9.99,70,2005
['Action'],STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,19.99,65,2009
['RPG'],Fallout 3: Game of the Year Edition,19.99,91,2009
"['Strategy', 'Indie', 'Simulation']",Gratuitous Space Battles: The Tribe,5.99,72,2009
['Simulation'],Build-A-Lot,9.99,72,2007
['Simulation'],Build-A-Lot 2: Town of the Year,9.99,72,2008
['Simulation'],Build-A-Lot 3: Passport to Europe,9.99,72,2009
"['Casual', 'Simulation']",Coconut Queen,9.99,72,2009
['Casual'],Roogoo,1.99,72,2009
"['Action', 'Adventure']",Devil May Cry 4,19.99,78,2008
"['Action', 'Indie', 'RPG']",Avencast: Rise of the Mage,9.99,68,2010
['Simulation'],Build-A-Lot 4: Power Source,9.99,72,2009
['Casual'],Farm Frenzy 2,4.99,72,2008
['Casual'],Farm Frenzy 3: American Pie,9.99,72,2010
['Casual'],Farm Frenzy 3,9.99,72,2009
['Casual'],Farm Frenzy,4.99,72,2007
['Casual'],Farm Frenzy: Pizza Party,4.99,72,2009
['Casual'],Cake Mania Main Street™,6.99,72,2010
"['Strategy', 'Casual']",Westward® IV: All Aboard,6.99,72,2010
"['Adventure', 'Casual']",Iron Roses,6.99,72,2010
['Strategy'],UFO: Extraterrestrials Gold,9.99,68,2010
['Adventure'],LEGO® Indiana Jones™ 2: The Adventure Continues,19.99,66,2010
"['Action', 'Indie', 'Racing']",Super Laser  Racer,4.99,72,2010
['Strategy'],Hearts of Iron III: Soviet Infantry Pack DLC,0.99,72,2010
['Action'],NecroVisioN: Lost Company,6.99,72,2010
['Casual'],Cradle of Persia,9.99,72,2007
['Action'],Aliens vs. Predator Swarm Map Pack,7.49,72,2010
"['Action', 'Indie']",Serious Sam Classic: The First Encounter,9.99,87,2001
['Simulation'],Train Simulator: Fort Kent to Eagle Lake Route Add-On,19.99,72,2010
"['Action', 'RPG']",Mount & Blade: Warband,19.99,78,2010
['Action'],Coniclysm,4.99,72,2010
"['Action', 'Indie']",Plain Sight,4.99,76,2010
['Action'],Lead and Gold: Gangs of the Wild West,9.99,70,2010
['Action'],Grand Theft Auto: Episodes from Liberty City,19.99,72,2010
"['Action', 'Adventure']",Dark Void™ Zero,4.99,72,2010
['Indie'],Fortix,0.99,72,2010
"['Action', 'Casual', 'Indie']",Beat Hazard,9.99,70,2010
['Adventure'],Sam & Max: The Devil’s Playhouse,19.99,72,2010
"['Simulation', 'Strategy']",M.U.D. TV,9.99,53,2010
['Simulation'],Wings of Luftwaffe Add-on,4.99,72,2010
"['Adventure', 'Indie']",The Misadventures of P.B. Winterbottom,4.99,79,2010
['Action'],AquaNox 2: Revelation,4.99,59,2003
['Action'],AquaNox,4.99,67,2001
"['Casual', 'Indie']",Fluttabyes,1.99,72,2010
['Casual'],Hidden Expedition: Titanic,9.99,72,2006
"['Casual', 'Indie']",Hidden Expedition: Amazon,9.99,72,2008
['Strategy'],Napoleon: Total War™ - Coalition Battle Pack,2.99,72,2010
['Casual'],Fitness Dash™,6.99,72,2008
['Casual'],Gemini Lost™,6.99,72,2009
['Casual'],DinerTown Detective Agency™,6.99,72,2009
['Casual'],Mahjong Roadshow™,6.99,72,2007
['Casual'],Hotel Dash™ Suite Success™,6.99,72,2009
['Casual'],Nightshift Legacy: The Jaguar's Eye™,6.99,72,2010
['Casual'],The Nightshift Code™,6.99,72,2008
['Casual'],TriJinx: A Kristine Kross Mystery™,6.99,72,2007
['Casual'],Valerie Porter and the Scarlet Scandal™,6.99,72,2009
"['Action', 'Adventure', 'Casual']",Biozone,9.99,72,2010
"['Action', 'Adventure']",Rocket Knight,14.99,63,2010
"['Action', 'Indie']",Flight of the Icarus,4.99,72,2010
['Casual'],Puzzler World,4.99,72,2010
"['Action', 'Adventure']",Prince of Persia: The Forgotten Sands™ Digital Deluxe Edition,19.99,72,2010
"['Casual', 'Indie']",Ziro,4.99,72,2010
['Action'],Altered Beast™,2.99,72,2010
['Action'],Comix Zone™,2.99,72,2010
['Action'],Golden Axe™,2.99,72,2010
['Action'],Ecco the Dolphin™,2.99,72,2010
['Strategy'],Gain Ground™,2.99,72,2010
['Action'],Shinobi™ III: Return of the Ninja Master,2.99,72,2010
['Action'],Crack Down™,2.99,72,2010
['Action'],VectorMan™,2.99,72,2010
['Action'],Shadow Dancer™,2.99,72,2010
['Action'],Space Harrier™ II,2.99,72,2010
"['Action', 'RPG']",Alpha Protocol™,14.99,72,2010
['Action'],Alien Breed: Impact,9.99,64,2010
['RPG'],Fallout 3 - Point Lookout,4.99,72,2010
"['Strategy', 'Indie']",Defense Grid: Resurgence Map Pack 1,0.99,72,2010
['RPG'],Fallout 3 - Mothership Zeta,4.99,72,2010
['RPG'],Fallout 3 - Broken Steel,4.99,72,2010
['RPG'],Fallout 3 - The Pitt,4.99,72,2010
['RPG'],Fallout 3 - Operation Anchorage,4.99,72,2010
"['Simulation', 'Strategy']",SimCity™ 4 Deluxe Edition,19.99,72,2003
"['Strategy', 'RPG']",Disciples III - Renaissance Steam Special Edition,14.99,56,2010
"['Casual', 'Indie']",Tidalis,4.99,75,2010
"['Action', 'Casual', 'Indie']",Razor2: Hidden Skies,9.99,61,2010
['Strategy'],The Settlers 7: Uncharted Land Map Pack,3.99,72,2010
['RPG'],Dimensity,9.99,72,2008
['Action'],Kane & Lynch 2: Dog Days,9.99,66,2010
"['Simulation', 'Strategy']",The Guild II Renaissance,9.99,56,2010
['Strategy'],Hearts of Iron III DLC: German II Spritepack,0.99,72,2010
['Simulation'],Trainz Simulator DLC: Blue Comet,19.99,72,2010
['Strategy'],Fantasy Wars,4.99,67,2010
['Action'],Mafia II,29.99,77,2011
['Simulation'],Train Simulator: Network Southeast Class 47 Loco Add-On,4.99,72,2010
"['RPG', 'Casual']",Puzzle Quest 2,9.99,83,2010
['Action'],Burn Zombie Burn!,9.99,72,2010
['Indie'],Madballs B*D*I Clan Skins,1.99,72,2010
['Indie'],Madballs Scorched Evolution Skin Rollup,1.99,72,2010
['Indie'],Madballs BDI Evolution Skin Rollup,1.99,72,2010
['Indie'],Madballs Holiday Skin Rollup,2.99,72,2010
['Strategy'],Victoria I Complete,9.99,72,2010
['Simulation'],Ship Simulator Extremes,19.99,49,2010
['Strategy'],Worms Reloaded,19.99,79,2010
"['Indie', 'Simulation', 'Strategy']",Making History II: The War of the World,14.99,38,2010
"['Action', 'Simulation', 'Strategy']",Arma 2: British Armed Forces,8.99,72,2010
['Strategy'],Victoria II,19.99,75,2010
['Indie'],Madballs Scorched Clan Skins,1.99,72,2010
['Action'],Kane & Lynch 2: The Doggie Bag,5.99,72,2010
['Action'],Kane & Lynch 2: Multiplayer Masks Pack,1.99,72,2010
['Simulation'],Trainz: Classic Cabon City,19.99,72,2010
['Action'],Kane & Lynch 2: Alliance Weapon Pack,2.99,72,2010
['Strategy'],Cossacks: Back to War,4.99,60,2002
['Adventure'],Broken Sword: Director's Cut,5.99,72,2010
['Casual'],Chime,4.99,72,2010
['Action'],Mafia II DLC: Jimmy's Vendetta,9.99,72,2010
['Action'],Sniper: Ghost Warrior - Map Pack,1.99,72,2010
"['Action', 'Indie']",VVVVVV,4.99,81,2010
['Strategy'],The Settlers 7: Conquest - The Empire Expansion DLC,3.99,72,2010
"['Action', 'Adventure', 'Indie']",Amnesia: The Dark Descent,19.99,85,2010
"['RPG', 'Indie']",Recettear: An Item Shop's Tale,19.99,82,2010
"['Action', 'Casual', 'Indie']",Swarm Arena,3.99,72,2010
"['Action', 'Simulation']",Super Thunder Blade™,2.99,72,2010
['Action'],Galaxy Force II™,2.99,72,2010
['Simulation'],Hacker Evolution,4.99,72,2010
